microcosm,gas,replicate,day,Temperature_H,Temperature_L,Oxygen_H,Oxygen_L,Density_bacteria,Density_dexiostoma,Density_colpidium,Density_prey,Density_spathidium,Density_cyst,Total_biomass
122,100mL,4,21,21.183,21.187,18.864,17.278,330000,0,0,0,2,33,0
122,100mL,4,67,15.15,15.092,19.239,16.595,212333.3333,0,46.13333333,46.13333333,1,23,0
122,100mL,4,5,17.139,17.072,18.787,14.059,10628666.67,0,NA,0,9,2,0.04
122,100mL,4,23,21.955,21.921,18.483,16.823,195333.3333,0,0,0,0,22,0
122,100mL,4,51,19.7,19.66,18.266,16.548,151000,0,NA,0,2,17,0
122,100mL,4,63,16.648,16.62,18.674,17.009,233666.6667,0,23.06666667,23.06666667,1,17,0.002
122,100mL,4,59,17.706,17.6,18.792,15.988,272000,0,46.13333333,46.13333333,2,19,0
122,100mL,4,7,17.791,17.759,19.058,14.95,837666.6667,0,NA,0,30,3,0.034
122,100mL,4,35,23.409,23.446,18.532,18.155,87333.33333,0,0,0,NA,30,0.002
122,100mL,4,65,16.162,16.098,18.656,15.367,218666.6667,0,46.13333333,46.13333333,2,33,0
122,100mL,4,47,20.913,20.901,18.19,16.394,127666.6667,0,23.06666667,23.06666667,NA,6,0.001
122,100mL,4,13,19.09,19.054,18.97,16.862,423666.6667,0,0,0,1,40,0
122,100mL,4,37,23.754,23.756,18.5,18.224,77666.66667,0,0,0,NA,35,0
122,100mL,4,49,20.521,20.49,18.317,17.125,143000,0,NA,0,1,28,0
122,100mL,4,9,18.39,18.361,18.974,15.193,625666.6667,0,23.06666667,23.06666667,19,19,0.024
122,100mL,4,1,16.446,16.326,18.765,11.607,238333.3333,484.4,461.3333333,945.7333333,3,NA,0.133
122,100mL,4,3,17.484,16.885,18.507,14.02,310333.3333,138.4,46.13333333,184.5333333,6,NA,0.048
122,100mL,4,45,21.603,21.588,18.585,17.394,122000,0,NA,0,NA,26,0
122,100mL,4,39,23.235,23.29,18.494,18.158,97000,0,0,0,1,22,0.001
123,100mL,5,57,17.892,17.802,18.353,15.247,2.00E+05,0,138.4,138.4,1,21,0.001
123,100mL,5,67,14.852,14.873,18.338,16.632,337333.3333,0,0,0,4,14,0.002
123,100mL,5,31,23.325,23.051,18.217,17.807,134000,0,0,0,0,19,0
123,100mL,5,35,23.615,23.661,18.407,17.875,114333.3333,0,0,0,0,19,0
123,100mL,5,39,23.464,23.53,18.292,18.115,88666.66667,0,NA,0,NA,30,0
123,100mL,5,37,23.483,23.618,18.508,17.744,101666.6667,0,NA,0,NA,14,0
123,100mL,5,17,20.216,20.19,18.231,16.105,482333.3333,0,0,0,1,35,0
123,100mL,5,51,19.675,19.632,18.075,15.644,184666.6667,0,NA,0,2,20,0
123,100mL,5,23,21.879,21.855,18.394,15.646,256000,0,0,0,6,69,0.004
123,100mL,5,21,21.217,21.207,18.474,16.499,391666.6667,0,0,0,7,32,0.002
123,100mL,5,25,22.561,22.524,18.108,16.273,155000,NA,0,0,3,35,0
123,100mL,5,55,19.687,18.82,18.619,16.198,140000,0,46.13333333,46.13333333,NA,15,0.003
123,100mL,5,49,20.281,20.29,18.263,15.858,239333.3333,0,23.06666667,23.06666667,2,21,0.005
123,100mL,5,29,23.431,23.411,18.337,17.707,158000,23.06666667,0,23.06666667,1,16,0.012
123,100mL,5,61,16.873,16.819,18.334,15.717,225666.6667,0,115.3333333,115.3333333,1,15,0.002
123,100mL,5,7,18.063,17.956,18.454,14.46,934666.6667,46.13333333,NA,46.13333333,9,3,0.008
123,100mL,5,27,22.823,22.798,18.421,17.446,133666.6667,NA,0,0,NA,21,0.001
123,100mL,5,63,16.052,16.009,18.16,15.664,338000,0,184.5333333,184.5333333,3,14,0
123,100mL,5,19,20.69,20.629,18.588,16.622,512333.3333,0,0,0,1,66,0
123,100mL,5,47,20.934,20.906,18.071,16.046,93333.33333,0,NA,0,1,7,0
123,100mL,5,65,15.559,15.558,18.386,15.926,244666.6667,0,69.2,69.2,3,19,0
123,100mL,5,41,22.901,22.889,18.484,17.765,55666.66667,0,23.06666667,23.06666667,1,12,0.006
123,100mL,5,3,17.558,16.96,17.981,12.659,227000,23.06666667,46.13333333,69.2,13,NA,0.079
123,100mL,5,45,21.438,21.491,18.504,17.223,122333.3333,0,NA,0,1,20,0
123,100mL,5,59,17.37,17.589,18.094,15.804,161666.6667,0,69.2,69.2,2,27,0.002
123,100mL,5,13,19.071,19.029,18.543,15.509,422333.3333,0,0,0,13,23,0.003
123,100mL,5,43,22.002,21.91,18.396,17.425,106000,0,0,0,NA,21,0.001
123,100mL,5,5,17.119,17.185,18.583,13.351,1242000,92.26666667,23.06666667,115.3333333,9,1,0.024
123,100mL,5,33,23.831,24.079,17.896,17.907,NA,NA,NA,NA,NA,NA,NA
123,100mL,5,53,18.957,18.9,18.135,16.172,233000,0,23.06666667,23.06666667,2,22,0.001
123,100mL,5,9,18.522,18.469,18.332,14.547,527333.3333,0,23.06666667,23.06666667,18,4,0.029
123,100mL,5,15,19.696,19.687,18.67,16.36,855333.3333,0,0,0,2,33,0
123,100mL,5,1,16.673,16.542,18.171,10.7,259666.6667,738.1333333,369.0666667,1107.2,3,NA,0.099
123,100mL,5,11,18.826,18.744,17.915,14.288,572333.3333,0,0,0,16,4,0.007
124,100mL,6,55,19.613,18.662,18.59,18.57,77666.66667,0,NA,0,0,6,0
124,100mL,6,65,16.017,15.97,18.996,17.864,132333.3333,0,0,0,0,24,0
124,100mL,6,67,15.497,15.427,18.625,17.546,114000,0,0,0,0,26,0
124,100mL,6,37,23.704,23.711,18.415,18.224,85333.33333,0,0,0,NA,30,0.001
124,100mL,6,41,22.859,22.854,18.543,18.344,46666.66667,0,0,0,1,15,0
124,100mL,6,27,22.864,22.826,18.526,17.675,105333.3333,0,0,0,2,20,0.002
124,100mL,6,45,21.588,21.606,18.566,17.655,66666.66667,0,0,0,1,28,0
124,100mL,6,49,20.278,20.492,18.563,17.616,70333.33333,0,NA,0,0,15,0
124,100mL,6,57,18.436,18.501,18.873,17.941,76666.66667,0,NA,0,0,23,0
124,100mL,6,29,23.272,23.231,18.505,18.075,398333.3333,0,0,0,2,32,0
124,100mL,6,19,20.434,20.47,18.498,16.576,18000,0,0,0,1,33,0.001
124,100mL,6,35,23.76,23.763,18.111,18.088,78666.66667,0,0,0,0,14,0
124,100mL,6,1,15.696,15.451,18.083,9.363,222666.6667,484.4,138.4,622.8,4,NA,0.084
124,100mL,6,5,16.568,16.513,17.841,12.129,358666.6667,NA,23.06666667,23.06666667,3,1,0.043
124,100mL,6,13,18.712,18.714,18.205,15.356,467333.3333,0,0,0,6,24,0
124,100mL,6,15,19.435,19.397,18.351,15.835,895333.3333,0,0,0,2,28,0.001
124,100mL,6,47,20.959,20.957,18.164,17.776,52333.33333,0,0,0,0,7,0.001
124,100mL,6,31,23.747,23.493,18.489,17.964,471666.6667,0,0,0,0,17,0
124,100mL,6,3,16.822,15.993,18.101,13.073,288666.6667,23.06666667,69.2,92.26666667,5,NA,0.028
124,100mL,6,17,19.953,19.945,18.176,16.852,129666.6667,0,0,0,NA,23,0
124,100mL,6,23,21.713,21.719,18.27,16.369,235666.6667,0,0,0,NA,32,0
124,100mL,6,63,16.642,16.578,18.683,17.695,126333.3333,0,23.06666667,23.06666667,0,22,0
124,100mL,6,25,22.396,22.362,18.182,16.843,140000,0,0,0,NA,31,0.003
124,100mL,6,53,19.232,19.181,18.31,17.1,83666.66667,0,322.9333333,322.9333333,0,18,0.005
124,100mL,6,59,17.727,17.577,18.878,18.111,91333.33333,0,23.06666667,23.06666667,0,27,0
124,100mL,6,43,22.151,22.13,18.431,17.719,248666.6667,0,0,0,1,26,0
124,100mL,6,21,21.054,20.965,18.522,17.075,314666.6667,0,0,0,3,31,0
124,100mL,6,9,18.007,18.013,18.184,13.943,607666.6667,0,0,0,22,4,0.007
124,100mL,6,7,17.253,17.173,18.082,13.54,964333.3333,69.2,0,69.2,15,2,0.04
124,100mL,6,51,19.572,19.588,18.405,17.338,58666.66667,0,NA,0,0,18,0
124,100mL,6,33,23.747,23.874,18.039,17.854,NA,NA,NA,NA,NA,NA,NA
124,100mL,6,11,18.368,18.366,17.899,12.829,596333.3333,0,0,0,10,9,0
124,100mL,6,39,23.327,23.363,18.336,17.975,48666.66667,0,0,0,NA,18,0
124,100mL,6,61,17.104,17.068,18.898,17.48,116333.3333,0,69.2,69.2,0,27,0.002
125,200mL,1,51,19.362,19.04,18.429,17.867,51666.66667,0,NA,0,NA,13,0
125,200mL,1,65,15.836,15.784,18.785,17.916,104000,0,0,0,0,16,0.001
125,200mL,1,35,23.797,23.737,18.522,18.639,84666.66667,0,NA,0,0,25,0
125,200mL,1,7,17.578,17.478,18.994,15.718,934333.3333,299.8666667,138.4,438.2666667,9,4,0.052
125,200mL,1,21,21.001,21.135,18.833,16.889,288333.3333,0,0,0,1,21,0.002
125,200mL,1,19,20.566,20.54,18.991,17.493,359333.3333,0,0,0,NA,36,0
125,200mL,1,15,19.598,19.576,18.995,16.999,730666.6667,0,0,0,1,51,0.004
125,200mL,1,45,21.437,21.25,18.729,18.225,66000,0,0,0,0,35,0.004
125,200mL,1,47,20.737,20.962,18.367,17.808,37333.33333,0,0,0,0,19,0
125,200mL,1,57,18.25,18.184,19.093,18.558,56666.66667,0,0,0,0,23,0
125,200mL,1,17,20.035,19.958,18.642,17.181,516333.3333,0,0,0,1,36,0.003
125,200mL,1,43,21.976,22.003,18.584,18.428,99333.33333,0,0,0,1,21,0.001
125,200mL,1,63,16.23,16.182,18.956,18.139,83666.66667,0,0,0,0,36,0.01
125,200mL,1,29,23.205,22.956,18.82,18.635,83333.33333,0,0,0,1,23,0
125,200mL,1,27,22.631,22.89,18.834,18.009,88000,0,0,0,NA,16,0
125,200mL,1,11,18.513,18.463,18.396,15.753,488666.6667,0,23.06666667,23.06666667,4,23,0.023
125,200mL,1,53,18.584,18.631,18.625,17.849,46666.66667,0,23.06666667,23.06666667,1,25,0
125,200mL,1,59,17.619,17.555,18.754,18.313,63666.66667,0,0,0,0,26,0.002
125,200mL,1,49,20.286,20.231,18.466,18.18,46000,0,NA,0,NA,32,0.001
125,200mL,1,3,16.562,16.428,18.858,14.145,220000,392.1333333,23.06666667,415.2,9,NA,0.022
125,200mL,1,67,15.109,15.054,18.916,18.406,222666.6667,0,0,0,0,34,0.001
125,200mL,1,31,23.677,23.742,18.603,18.541,76000,0,0,0,0,26,0.001
125,200mL,1,23,21.837,21.801,18.656,17.422,171666.6667,0,0,0,NA,11,0
125,200mL,1,61,17.06,16.996,18.786,17.728,60666.66667,0,0,0,0,14,0
125,200mL,1,5,16.871,16.818,18.571,14.177,4006333.333,138.4,23.06666667,161.4666667,10,2,0.025
125,200mL,1,1,16.029,15.905,18.86,10.542,223666.6667,1176.4,184.5333333,1360.933333,6,NA,0.102
125,200mL,1,25,22.407,22.341,18.518,16.509,123333.3333,0,0,0,1,28,0
125,200mL,1,9,18.155,18.107,19.064,14.983,498000,69.2,NA,69.2,7,2,0.031
125,200mL,1,13,18.921,18.94,18.832,16.356,366666.6667,0,0,0,8,7,0.016
125,200mL,1,55,19.857,19.105,18.908,18.59,73333.33333,0,0,0,0,10,0.002
125,200mL,1,41,22.514,22.658,18.964,18.832,44000,0,0,0,NA,19,0
125,200mL,1,39,23.188,22.639,18.729,18.876,51666.66667,0,23.06666667,23.06666667,NA,28,0.007
125,200mL,1,33,23.813,23.951,18.277,18.444,NA,NA,NA,NA,NA,NA,NA
125,200mL,1,37,23.881,23.829,18.617,18.463,67000,0,NA,0,0,13,0
126,200mL,2,31,23.707,23.309,18.422,17.357,181333.3333,0,NA,0,NA,34,0
126,200mL,2,29,23.158,23.212,18.421,17.606,222666.6667,0,NA,0,1,58,0.001
126,200mL,2,5,16.734,16.671,17.836,10.818,103666.6667,392.1333333,92.26666667,484.4,9,2,0.059
126,200mL,2,27,22.733,22.877,18.461,16.761,281333.3333,0,0,0,2,53,0.003
126,200mL,2,59,17.639,17.522,18.785,16.824,147000,0,69.2,69.2,4,40,0.003
126,200mL,2,67,15.098,15.158,18.901,16.429,234333.3333,0,0,0,0,19,0
126,200mL,2,55,19.39,18.572,18.706,16.818,128666.6667,0,46.13333333,46.13333333,NA,9,0.002
126,200mL,2,35,23.607,23.774,17.954,17.117,151666.6667,0,161.4666667,161.4666667,NA,38,0.001
126,200mL,2,53,19.231,19.191,18.151,17.236,126000,0,NA,0,5,21,0
126,200mL,2,25,22.242,22.23,18.327,16.688,225000,0,0,0,NA,50,0.001
126,200mL,2,17,19.948,19.925,18.199,15.665,688333.3333,69.2,0,69.2,NA,62,0.004
126,200mL,2,23,21.637,21.638,18.261,15.314,326666.6667,0,0,0,NA,41,0
126,200mL,2,65,16.231,16.112,18.413,15.971,240000,0,23.06666667,23.06666667,1,54,0.001
126,200mL,2,1,15.282,15.181,17.92,10.525,233000,599.7333333,461.3333333,1061.066667,7,NA,0.13
126,200mL,2,11,18.296,18.229,17.847,14.701,782333.3333,0,0,0,3,37,0.002
126,200mL,2,39,23.297,23.358,18.126,17.143,162666.6667,0,23.06666667,23.06666667,4,31,0
126,200mL,2,3,16.152,16.346,17.846,11.132,289666.6667,161.4666667,NA,161.4666667,8,NA,0.044
126,200mL,2,19,20.396,20.33,18.558,16.565,496333.3333,0,0,0,5,40,0
126,200mL,2,7,17.447,17.374,18.334,12.865,1257333.333,23.06666667,138.4,161.4666667,17,1,0.036
126,200mL,2,43,22.157,22.136,18.136,16.084,189666.6667,0,46.13333333,46.13333333,1,36,0.002
126,200mL,2,37,23.762,23.781,18.042,17.542,168000,0,46.13333333,46.13333333,3,32,0.004
126,200mL,2,21,20.995,20.874,18.502,13.716,405666.6667,0,0,0,2,35,0.002
126,200mL,2,51,19.711,19.714,18.151,15.831,140000,0,23.06666667,23.06666667,1,20,0
126,200mL,2,63,16.467,16.483,18.744,17.31,269333.3333,0,23.06666667,23.06666667,4,21,0
126,200mL,2,61,17.341,17.305,18.459,16.362,161000,0,NA,0,2,34,0.001
126,200mL,2,45,21.599,21.582,18.289,16.82,149000,0,69.2,69.2,5,28,0.003
126,200mL,2,9,17.898,17.884,18.161,12.904,637000,0,0,0,34,NA,0.023
126,200mL,2,41,22.676,22.393,18.303,17.75,138666.6667,0,NA,0,4,36,0
126,200mL,2,13,18.833,18.788,18.236,15.162,475666.6667,NA,0,0,1,22,0.001
126,200mL,2,15,19.495,19.483,18.498,15.615,819333.3333,NA,0,0,3,43,0
126,200mL,2,33,23.725,23.88,17.902,16.89,NA,NA,NA,NA,NA,NA,NA
126,200mL,2,57,18.243,18.41,18.709,16.576,156333.3333,0,23.06666667,23.06666667,1,27,0.001
126,200mL,2,47,20.931,20.946,17.833,16.701,126666.6667,0,92.26666667,92.26666667,5,32,0.007
126,200mL,2,49,20.451,20.457,18.222,16.107,130333.3333,0,46.13333333,46.13333333,3,27,0.004
127,200mL,3,13,19.151,19.113,19.119,16.885,357333.3333,23.06666667,0,23.06666667,1,73,0.009
127,200mL,3,3,17.043,16.93,18.872,13.045,222333.3333,161.4666667,69.2,230.6666667,7,NA,0.055
127,200mL,3,43,22.13,22.149,18.86,15.996,152333.3333,0,NA,0,1,25,0.001
127,200mL,3,11,18.654,18.635,19.016,16.051,526666.6667,NA,0,0,9,11,0.007
127,200mL,3,27,22.918,22.967,19.018,18.297,130666.6667,0,0,0,1,38,0
127,200mL,3,31,23.208,23.266,19.161,18.419,141666.6667,0,NA,0,1,23,0
127,200mL,3,29,23.432,23.436,18.978,18.05,116333.3333,0,NA,0,NA,26,0
127,200mL,3,1,16.658,16.503,18.735,10.606,156333.3333,576.6666667,484.4,1061.066667,1,NA,0.104
127,200mL,3,63,16.419,16.35,19.073,18.066,351000,0,23.06666667,23.06666667,5,36,0
127,200mL,3,37,23.544,23.664,19.07,18.115,145333.3333,0,NA,0,4,17,0.001
127,200mL,3,53,18.862,18.775,18.959,17.693,119333.3333,0,NA,0,3,12,0
127,200mL,3,21,21.213,21.19,19.164,17.145,275000,23.06666667,0,23.06666667,1,42,0
127,200mL,3,41,22.118,22.555,19.252,18.341,107666.6667,0,23.06666667,23.06666667,5,18,0
127,200mL,3,5,17.357,17.261,18.887,14.232,577666.6667,46.13333333,NA,46.13333333,12,NA,0.017
127,200mL,3,17,20.164,19.984,19.101,16.883,597666.6667,NA,0,0,1,40,0.009
127,200mL,3,59,17.551,17.445,19.124,18.185,141000,0,23.06666667,23.06666667,NA,22,0
127,200mL,3,55,19.786,18.786,19.165,17.602,158000,0,69.2,69.2,1,13,0.002
127,200mL,3,35,23.858,23.881,18.754,18.233,128000,0,69.2,69.2,1,25,0
127,200mL,3,67,15.143,15.017,19.171,17.917,201666.6667,0,23.06666667,23.06666667,0,27,0
127,200mL,3,45,21.308,21.428,19.023,17.685,140333.3333,0,92.26666667,92.26666667,1,20,0.001
127,200mL,3,65,15.715,15.645,19.427,17.756,228000,0,23.06666667,23.06666667,1,25,0.001
127,200mL,3,39,23.451,23.5,18.759,18.337,126000,0,23.06666667,23.06666667,2,32,0
127,200mL,3,49,20.423,20.415,18.828,16.434,124333.3333,0,NA,0,4,12,0
127,200mL,3,7,18.101,17.98,19.362,16.214,890666.6667,23.06666667,46.13333333,69.2,24,4,0.021
127,200mL,3,15,19.692,19.691,19.522,17.314,656666.6667,0,0,0,2,23,0.001
127,200mL,3,9,18.363,18.367,19.489,15.381,507666.6667,23.06666667,0,23.06666667,21,12,0.048
127,200mL,3,19,20.713,20.68,19.215,17.147,415333.3333,NA,0,0,NA,22,0
127,200mL,3,61,17.043,16.992,19.26,17.484,115000,0,NA,0,1,19,0.001
127,200mL,3,51,19.506,19.415,18.751,16.905,131000,0,23.06666667,23.06666667,NA,34,0
127,200mL,3,25,22.558,22.552,18.776,17.404,129666.6667,0,0,0,5,21,0.004
127,200mL,3,23,21.803,21.776,19.096,16.11,190000,0,0,0,3,37,0
127,200mL,3,47,20.93,20.931,18.566,17.504,92666.66667,0,69.2,69.2,NA,26,0
127,200mL,3,33,23.798,23.973,18.776,18.084,NA,NA,NA,NA,NA,NA,NA
127,200mL,3,57,18.225,18.147,19.406,18.14,123666.6667,0,NA,0,NA,13,0
128,200mL,4,13,18.756,18.706,18.492,16.7,457666.6667,0,0,0,1,26,0
128,200mL,4,65,15.812,15.754,18.667,16.429,256333.3333,0,92.26666667,92.26666667,7,20,0.005
128,200mL,4,37,23.873,23.891,18.291,17.397,248333.3333,0,NA,0,0,28,0
128,200mL,4,9,18.043,17.964,18.635,14.668,554333.3333,23.06666667,0,23.06666667,18,10,0.018
128,200mL,4,39,23.256,22.995,18.188,17.443,304000,0,NA,0,NA,21,0
128,200mL,4,51,19.671,19.635,17.947,15.144,219666.6667,0,207.6,207.6,2,18,0.002
128,200mL,4,1,15.212,14.995,18.085,10.665,205666.6667,968.8,438.2666667,1407.066667,2,NA,0.111
128,200mL,4,53,19.111,19.083,18.088,14.534,196000,0,276.8,276.8,3,21,0.001
128,200mL,4,67,15.083,15.059,18.693,16.775,278666.6667,0,23.06666667,23.06666667,2,42,0
128,200mL,4,5,16.614,16.569,18.237,13.507,749333.3333,46.13333333,69.2,115.3333333,10,NA,0.043
128,200mL,4,61,17.063,17.002,18.517,16.037,155333.3333,0,69.2,69.2,6,36,0
128,200mL,4,3,16.217,16.466,18.242,10.174,227000,23.06666667,69.2,92.26666667,9,NA,0.073
128,200mL,4,49,20.332,20.247,17.989,14.244,257666.6667,0,507.4666667,507.4666667,NA,25,0.002
128,200mL,4,29,23.276,23.265,18.734,18.233,190000,0,0,0,NA,12,0
128,200mL,4,41,22.594,22.664,18.372,13.485,197000,0,92.26666667,92.26666667,NA,9,0.002
128,200mL,4,27,22.888,22.808,18.783,18.217,111666.6667,0,0,0,1,18,0
128,200mL,4,23,21.711,21.516,18.484,17.342,176333.3333,0,0,0,NA,36,0.001
128,200mL,4,59,17.595,17.563,18.487,16.746,146000,0,69.2,69.2,6,12,0
128,200mL,4,45,21.525,21.32,18.184,15.037,355000,0,69.2,69.2,0,16,0.002
128,200mL,4,31,23.454,23.414,18.804,18.774,122666.6667,0,0,0,1,15,0
128,200mL,4,25,22.308,22.198,18.48,17.409,296666.6667,0,0,0,2,13,0
128,200mL,4,43,22.131,22.158,17.998,14.836,318333.3333,0,161.4666667,161.4666667,1,32,0.002
128,200mL,4,35,23.504,23.49,18.281,17.609,276666.6667,0,0,0,0,37,0
128,200mL,4,55,19.679,18.862,18.534,15.773,117000,0,253.7333333,253.7333333,3,30,0.007
128,200mL,4,11,18.306,18.227,18.2,14.753,650333.3333,0,0,0,5,21,0.001
128,200mL,4,57,18.194,18.139,18.546,15.707,157000,0,69.2,69.2,3,23,0.001
128,200mL,4,63,16.338,16.3,18.665,14.87,239333.3333,0,46.13333333,46.13333333,8,17,0.009
128,200mL,4,7,17.402,17.344,18.447,13.455,1009333.333,23.06666667,0,23.06666667,19,3,0.032
128,200mL,4,17,19.942,19.831,18.407,16.933,608666.6667,0,0,0,0,32,0
128,200mL,4,19,20.426,20.414,18.711,17.412,720333.3333,0,0,0,0,19,0
128,200mL,4,47,20.765,20.477,17.729,14.253,208333.3333,0,230.6666667,230.6666667,NA,12,0.002
128,200mL,4,21,20.977,20.944,18.84,17.244,308333.3333,0,0,0,NA,33,0.001
128,200mL,4,15,19.464,19.543,18.753,17.114,930000,0,0,0,3,35,0
128,200mL,4,33,23.741,23.888,18.311,17.254,NA,NA,NA,NA,NA,NA,NA
129,200mL,5,59,17.823,17.724,18.794,18.344,54666.66667,0,0,0,0,22,0
129,200mL,5,19,20.588,20.541,18.79,16.497,649000,0,0,0,NA,22,0
129,200mL,5,65,15.99,15.957,19.199,18.249,120333.3333,0,0,0,0,25,0
129,200mL,5,67,15.548,15.452,18.808,17.591,136666.6667,0,0,0,0,24,0
129,200mL,5,47,20.953,20.949,18.3,17.923,52333.33333,0,0,0,0,5,0
129,200mL,5,15,19.6,19.567,18.941,16.447,937333.3333,0,0,0,NA,17,0.001
129,200mL,5,51,19.772,19.731,18.481,17.581,51000,0,0,0,0,17,0
129,200mL,5,13,18.919,18.915,18.805,16.33,479333.3333,0,0,0,3,18,0
129,200mL,5,33,23.825,24.007,18.165,17.98,NA,NA,NA,NA,NA,NA,NA
129,200mL,5,49,20.518,20.49,18.601,17.89,63000,0,0,0,0,18,0.001
129,200mL,5,55,19.543,18.596,18.973,18.175,76000,0,0,0,0,18,0
129,200mL,5,61,17.337,17.284,18.711,17.775,60333.33333,0,0,0,0,22,0
129,200mL,5,3,16.536,16.395,18.98,13.188,252333.3333,46.13333333,46.13333333,92.26666667,6,NA,0.085
129,200mL,5,35,23.659,23.674,18.381,18.056,88333.33333,0,0,0,0,25,0
129,200mL,5,25,22.379,22.39,18.465,17.485,168000,0,0,0,NA,29,0
129,200mL,5,43,22.156,22.153,18.515,17.917,101666.6667,0,0,0,1,14,0.001
129,200mL,5,1,16.035,15.786,18.65,10.96,306666.6667,322.9333333,415.2,738.1333333,3,NA,0.12
129,200mL,5,7,17.503,17.43,18.995,14.598,925666.6667,NA,0,0,30,4,0.011
129,200mL,5,37,23.652,23.499,18.611,18.447,70666.66667,0,0,0,NA,17,0.001
129,200mL,5,17,20.041,20.004,18.598,16.784,540000,0,0,0,1,22,0
129,200mL,5,41,22.766,22.815,18.7,18.63,42000,0,0,0,2,27,0
129,200mL,5,23,21.833,21.812,18.568,16.954,171333.3333,0,0,0,3,17,0
129,200mL,5,11,18.489,18.462,18.516,15.104,617333.3333,0,0,0,9,10,0
129,200mL,5,45,21.578,21.58,18.548,17.661,91333.33333,0,0,0,0,28,0
129,200mL,5,9,18.156,18.112,18.892,14.72,610333.3333,46.13333333,0,46.13333333,18,1,0.016
129,200mL,5,29,23.435,23.443,18.559,18.306,99333.33333,0,0,0,1,38,0
129,200mL,5,5,16.862,16.793,18.449,13.52,948333.3333,23.06666667,0,23.06666667,10,NA,0.015
129,200mL,5,53,18.916,18.678,18.694,18.091,66000,0,0,0,0,15,0.002
129,200mL,5,39,23.318,23.361,18.427,18.4,59333.33333,0,0,0,NA,18,0.002
129,200mL,5,31,23.113,23.4,18.811,18.462,95666.66667,0,0,0,0,16,0
129,200mL,5,63,16.654,16.614,18.869,18.182,102000,0,0,0,0,17,0.018
129,200mL,5,27,23.006,23.019,18.618,18.539,111666.6667,0,0,0,1,23,0
129,200mL,5,57,18.611,18.517,18.839,18.107,58000,0,0,0,0,34,0
129,200mL,5,21,21.138,21.061,18.738,16.62,308666.6667,0,0,0,NA,24,0.002
130,200mL,6,15,19.75,19.704,18.282,14.053,1085000,0,46.13333333,46.13333333,3,29,0.042
130,200mL,6,21,21.119,20.99,18.278,14.28,450333.3333,0,0,0,NA,27,0.06
130,200mL,6,63,16.012,16.298,17.668,14.022,228666.6667,0,369.0666667,369.0666667,20,28,0.048
130,200mL,6,33,23.858,23.984,17.331,14.308,NA,NA,NA,NA,NA,NA,NA
130,200mL,6,59,17.426,17.413,17.905,11.102,109000,0,507.4666667,507.4666667,9,56,0.051
130,200mL,6,23,21.949,21.911,17.9,12.572,256666.6667,NA,0,0,2,41,0.019
130,200mL,6,19,20.632,20.636,18.481,15.121,547000,0,0,0,2,24,0.015
130,200mL,6,61,16.801,16.746,17.624,13.438,129333.3333,0,715.0666667,715.0666667,3,32,0.065
130,200mL,6,11,18.806,18.755,17.923,14.109,805000,0,NA,0,15,5,0.006
130,200mL,6,49,20.308,20.09,17.622,7.74,246000,0,438.2666667,438.2666667,8,47,0.046
130,200mL,6,67,14.898,14.89,17.988,15.051,293666.6667,0,161.4666667,161.4666667,9,32,0.021
130,200mL,6,13,19.182,19.127,18.182,13.915,545000,0,23.06666667,23.06666667,5,13,0.009
130,200mL,6,9,18.53,18.473,18.43,14.48,635333.3333,69.2,NA,69.2,27,3,0.014
130,200mL,6,51,19.443,19.307,17.497,11.21,170666.6667,0,968.8,968.8,13,34,0.103
130,200mL,6,17,20.154,20.149,18.106,14.872,781333.3333,0,0,0,NA,27,0.006
130,200mL,6,35,23.577,23.578,17.669,15.089,143000,0,576.6666667,576.6666667,1,22,0.09
130,200mL,6,53,18.731,18.707,17.765,12.543,39333.33333,0,553.6,553.6,17,37,0.044
130,200mL,6,47,20.717,20.531,17.336,10.842,108000,0,1038,1038,3,24,0.105
130,200mL,6,41,22.554,22.795,17.971,15.462,99000,0,645.8666667,645.8666667,10,19,0.07
130,200mL,6,29,23.413,23.215,17.837,15.7,200666.6667,0,23.06666667,23.06666667,3,30,0.027
130,200mL,6,45,21.405,21.367,17.888,13.381,173000,0,553.6,553.6,11,21,0.06
130,200mL,6,39,23.427,23.393,17.698,16.201,133000,0,346,346,7,21,0.04
130,200mL,6,7,18.118,18.023,18.395,15.019,972666.6667,23.06666667,0,23.06666667,6,6,0.016
130,200mL,6,43,22.019,22.064,17.65,12.966,153000,0,553.6,553.6,13,22,0.054
130,200mL,6,55,19.921,19.266,17.918,10.645,25000,0,1199.466667,1199.466667,30,13,0.113
130,200mL,6,27,22.959,22.976,17.968,14.819,180666.6667,69.2,NA,69.2,NA,15,0.051
130,200mL,6,25,22.477,22.379,17.805,10.335,196333.3333,NA,NA,0,3,25,0.026
130,200mL,6,31,23.25,22.664,17.891,16.647,239333.3333,0,299.8666667,299.8666667,2,23,0.041
130,200mL,6,37,23.679,23.812,17.78,14.167,196666.6667,0,761.2,761.2,5,23,0.137
130,200mL,6,1,16.424,16.241,18.399,10.282,831666.6667,507.4666667,184.5333333,692,3,NA,0.084
130,200mL,6,65,15.643,15.619,17.842,13.472,243333.3333,0,392.1333333,392.1333333,15,19,0.049
130,200mL,6,57,17.913,18.021,18.039,10.479,24000,0,553.6,553.6,12,17,0.054
